area,Year,Rooms,Location,Price,Floor
87,1400,2,Marzdaran,13920000000.0,7.0
98,1397,2,Kooy-e Ferdows,10600000000.0,5.0
60,1396,1,Ebrahimabad,15600000000.0,1.0
87,1394,2,Plan & Budget Organization,9500000000.0,3.0
170,1375,3,Formaneya,340000000000.0,2.0
61,1395,2,Andisheh (Shahr-e Ziba),2650000000.0,0.0
105,1401,2,Heravi,14000000000.0,7.0
90,1387,2,Poonak,10750000000.0,1.0
67,1383,2,Jannat Abad-e Jonubi,6660000000.0,0.0
91,1384,2,Shahrak-e Naft (Zone 5),9100000000.0,0.0
88,1380,2,Plan & Budget Organization,9590000000.0,2.0
260,1395,4,Qeytarieh,300000000000.0,2.0
110,1389,2,Saadat Abad,16000000000.0,4.0
160,1395,3,Shahrak-e Rah Ahan,14000000000.0,1.0
85,1401,2,Niavaran,22600000000.0,9.0
102,1387,2,Qeytarieh,13200000000.0,5.0
128,1401,2,Pasdaran,15360000000.0,8.0
122,1390,3,Plan & Budget Organization,12000000000.0,3.0
80,1396,2,Iran,6280000000.0,0.0
73,1401,1,Daryacheh Shahidaye Khalij-e Fars,6000000000.0,5.0
182,1385,3,Qeytarieh,186000000000.0,4.0
96,1392,2,Qoheh,12800000000.0,2.0
102,1402,2,Vardevardeh,9180000000.0,10.0
94,1396,2,Poonak,10000000000.0,5.0
112,1402,2,Shahrak-e Rah Ahan,11000000000.0,3.0
150,1401,3,Ghoba,247500000000.0,2.0
46,1399,1,Makhsoos,2500000000.0,0.0
550,1399,4,Zaferanieh,1650000000000.0,3.0
118,1402,2,Shahrak-e Rah Ahan,19500000000.0,9.0
72,1395,1,Khani Abad,26000000000.0,0.0
117,1402,2,Pasdaran,15000000000.0,2.0
54,1398,1,Estad-e Mo'in,36000000000.0,1.0
250,1401,3,Valanjak,750000000000.0,6.0
120,1371,2,Dahkadeh-ye Olympic,82000000000.0,2.0
55,1402,1,Bagh-e Feyz,77000000000.0,2.0
66,1394,2,Chitgar,29000000000.0,2.0
95,1380,2,Police,59000000000.0,4.0
100,1385,2,Shahrak-e Rah Ahan,82000000000.0,2.0
58,1385,2,Dowlat Abad,19900000000.0,4.0
70,1393,2,Erm,77500000000.0,5.0
45,1381,1,Salsabil,26500000000.0,2.0
100,1401,2,Chitgar,19000000000.0,19.0
120,1398,2,Abshar-e Tehran,84000000000.0,10.0
74,1402,1,Poonak,74000000000.0,8.0
280,1392,3,Imamzadeh Ghasem,470000000000.0,0.0
86,1399,2,Estad-e Mo'in,70000000000.0,4.0
115,1401,2,Shahrak-e Naft (Zone 5),149000000000.0,0.0
100,1401,2,Chitgar,175000000000.0,20.0
164,1386,3,Saadat Abad,220000000000.0,3.0
114,1383,2,Saadat Abad,123000000000.0,1.0
60,1401,1,Gisha (Kooy-e Nasr),12000000000.0,4.0
146,1390,3,Shahran-e Jonubi,165000000000.0,5.0
103,1401,2,Hossein Abad,128900000000.0,4.0
132,1401,3,Chitgar,145000000000.0,16.0
115,1396,2,Saadat Abad,282500000000.0,4.0
95,1399,2,Shoosh,36000000000.0,0.0
140,1401,3,Gisha (Kooy-e Nasr),225000000000.0,3.0
47,1380,1,Salsabil,240000000000.0,3.0
270,1395,4,Formaneya,4000000000000.0,5.0
146,1370,3,Ekbatan,135000000000.0,30.0
84,1401,2,Estad-e Mo'in,52000000000.0,2.0
135,1402,3,Chitgar,567000000000.0,30.0
53,1382,1,Jeyhoon,27450000000.0,1.0
330,1401,4,Eghdasiyeh,6500000000000.0,2.0
90,1398,2,Poonak,95400000000.0,3.0
120,1384,3,Pasdaran,150000000000.0,3.0
62,1392,1,Shahrak-e Azadi,46500000000.0,1.0
58,1390,1,Eskandari,32000000000.0,0.0
55,1395,1,Soleymani,30500000000.0,3.0
60,1398,1,Saadat Abad,119000000000.0,1.0
156,1402,3, Ferdows Boulevard,170000000.0,3.0
75,1402,2,Estad-e Mo'in,5350000000.0,2.0
63,1377,1,Jeyhoon,35000000000.0,0.0
70,1375,2,Sablān,26900000000.0,0.0
60,1386,1,Hashemi,39500000000.0,1.0
122,1400,2, Azgel,12500000000.0,0.0
98,1399,2, Jannat Abad Markazi,12100000000.0,5.0
126,1401,2, Daryacheh Shahidaye Khalij-e Fars,9120000000.0,0.0
154,1402,3, Chitgar,90000000000.0,18.0
