Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
63,1,1,1,1,Shahran,1850000000.0,61666.67
60,1,1,1,1,Shahran,1850000000.0,61666.67
79,2,1,1,1,Pardis,550000000.0,18333.33
95,2,1,1,1,Shahrake Qods,902500000.0,30083.33
123,2,1,1,1,Shahrake Gharb,7000000000.0,233333.33
70,2,1,1,0,North Program Organization,2050000000.0,68333.33
87,2,1,1,1,Pardis,600000000.0,20000.0
59,1,1,1,1,Shahran,2150000000.0,71666.67
54,2,1,1,0,Andisheh,493000000.0,16433.33
71,1,1,1,1,West Ferdows Boulevard,2370000000.0,79000.0
68,2,1,1,1,West Ferdows Boulevard,2450000000.0,81666.67
64,1,1,1,1,Narmak,2100000000.0,70000.0
54,1,0,1,1,Narmak,1690000000.0,56333.33
136,3,1,1,1,Saadat Abad,11000000000.0,366666.67
95,2,1,1,1,Zafar,5000000000.0,166666.67
63,1,0,1,0,Islamshahr,570000000.0,19000.0
155,3,1,1,1,Narmak,6700000000.0,223333.33
64,2,0,1,0,Pirouzi,1450000000.0,48333.33
140,3,1,1,1,West Ferdows Boulevard,6400000000.0,213333.33
42,1,0,1,0,Pirouzi,1390000000.0,46333.33
93,2,1,1,1,Shahrake Gharb,7000000000.0,233333.33
87,2,1,1,1,Shahrake Shahid Bagheri,2500000000.0,83333.33
65,1,1,1,1,Shahran,1880000000.0,62666.67
99,2,1,1,1,Moniriyeh,2277000000.0,75900.0
105,2,1,1,1,Saadat Abad,7150000000.0,238333.33
160,3,1,1,1,Velenjak,14945000000.0,498166.67
77,2,1,1,1,Amirieh,1771000000.0,59033.33
123,2,1,1,1,Pirouzi,4059000000.0,135300.0
110,2,1,1,1,Southern Janatabad,630000000.0,21000.0
100,2,1,1,1,West Ferdows Boulevard,3200000000.0,106666.67
90,2,0,1,0,Salsabil,1500000000.0,50000.0
49,1,1,1,1,West Ferdows Boulevard,2200000000.0,73333.33
96,2,1,1,1,Zargandeh,7872000000.0,262400.0
67,2,1,1,0,Feiz Garden,2350000000.0,78333.33
68,2,1,1,1,West Ferdows Boulevard,2500000000.0,83333.33
62,1,1,0,1,Water Organization,2150000000.0,71666.67
55,1,1,1,1,West Ferdows Boulevard,2150000000.0,71666.67
110,2,1,1,1,West Ferdows Boulevard,3750000000.0,125000.0
129,2,1,1,1,West Ferdows Boulevard,5250000000.0,175000.0
109,2,1,1,1,West Ferdows Boulevard,4830000000.0,161000.0
58,1,1,1,1,Saadat Abad,3400000000.0,113333.33
55,1,1,1,1,Saadat Abad,3850000000.0,128333.33
150,2,0,1,1,Shahrake Qods,1200000000.0,40000.0
130,3,1,1,0,ShahrAra,5000000000.0,166666.67
88,2,1,1,1,Gisha,4750000000.0,158333.33
51,1,1,1,1,Gisha,2980000000.0,99333.33
113,3,1,1,0,Shahrake Gharb,7000000000.0,233333.33
110,2,1,1,1,Ray,2035000000.0,67833.33
60,1,1,1,1,Abbasabad,2460000000.0,82000.0
98,2,1,1,1,Pardis,540000000.0,18000.0
62,2,0,0,1,Ostad Moein,1450000000.0,48333.33
150,3,1,1,1,Farmanieh,10000000000.0,333333.33
75,2,0,0,0,Parand,635000000.0,21166.67
61,1,1,1,0,Punak,2030000000.0,67666.67
61,1,1,1,0,Punak,2030000000.0,67666.67
72,2,1,1,1,Shahran,2350000000.0,78333.33
100,2,1,1,1,Qasr-od-Dasht,3000000000.0,100000.0
122,3,1,1,1,Aqdasieh,7200000000.0,240000.0
215,3,1,1,1,Pakdasht,1750000000.0,58333.33
101,2,1,1,1,Railway,3300000000.0,110000.0
67,2,1,1,1,Punak,2800000000.0,93333.33
72,2,1,1,0,Punak,2200000000.0,73333.33
63,1,1,1,0,Punak,2200000000.0,73333.33
75,2,1,1,0,Punak,2200000000.0,73333.33
109,2,1,1,1,Shahran,3500000000.0,116666.67
122,2,1,1,1,Aqdasieh,7000000000.0,233333.33
70,1,1,1,1,Central Janatabad,3100000000.0,103333.33
60,1,1,1,1,West Ferdows Boulevard,2450000000.0,81666.67
53,1,1,1,0,East Ferdows Boulevard,1920000000.0,64000.0
90,1,0,1,0,Pakdasht KhatunAbad,850000000.0,28333.33
72,2,1,1,1,Amirieh,1650000000.0,55000.0
74,2,1,1,1,Amirieh,1700000000.0,56666.67
88,3,0,0,1,Parand,560000000.0,18666.67
63,1,1,1,1,Punak,2150000000.0,71666.67
114,3,1,1,1,Sattarkhan,5500000000.0,183333.33
151,3,1,1,1,Saadat Abad,10200000000.0,340000.0
42,1,1,0,1,Shahran,1760000000.0,58666.67
74,2,1,1,1,Amirieh,1700000000.0,56666.67
88,3,0,0,1,Parand,560000000.0,18666.67
63,1,1,1,1,Punak,2150000000.0,71666.67
114,3,1,1,1,Sattarkhan,5500000000.0,183333.33
151,3,1,1,1,Saadat Abad,10200000000.0,340000.0
42,1,1,0,1,Shahran,1760000000.0,58666.67
300,3,1,1,0,Baghestan,1500000000.0,50000.0
110,2,1,1,1,West Ferdows Boulevard,3730000000.0,124333.33
100,2,0,0,0,Shahrake Qods,620000000.0,20666.67
140,1,0,0,0,Shahryar,580000000.0,19333.33
70,2,1,1,1,Northern Janatabad,3050000000.0,101666.67
60,2,1,1,0,West Ferdows Boulevard,2000000000.0,66666.67
76,2,1,1,1,North Program Organization,2600000000.0,86666.67
148,3,1,1,1,Daryan No,5990000000.0,199666.67
75,2,1,1,1,North Program Organization,2300000000.0,76666.67
40,1,1,1,0,Pirouzi,1300000000.0,43333.33
65,2,1,1,1,Southern Program Organization,2270000000.0,75666.67
140,3,1,1,1,Rudhen,4000000000.0,133333.33
110,2,1,1,1,West Pars,4000000000.0,133333.33
70,2,1,0,1,Afsarieh,1650000000.0,55000.0
128,3,1,1,1,Marzdaran,6700000000.0,223333.33
94,2,1,1,1,Parand,580000000.0,19333.33
67,1,1,1,1,Punak,2300000000.0,76666.67
75,1,1,1,1,Shahrake Qods,650000000.0,21666.67
130,2,1,1,1,Dorous,16900000000.0,563333.33
40,0,0,0,0,Shahrake Qods,248000000.0,8266.67
97,2,1,1,1,Pardis,510000000.0,17000.0
110,2,1,1,1,Shahran,3850000000.0,128333.33
150,3,1,1,1,Sadeghieh,6000000000.0,200000.0
75,2,0,0,0,Chahardangeh,780000000.0,26000.0
137,3,1,1,1,ShahrAra,7200000000.0,240000.0
85,2,1,1,1,Parand,410000000.0,13666.67
68,2,0,1,0,Pakdasht,430000000.0,14333.33
78,2,0,1,0,Baqershahr,800000000.0,26666.67
85,2,1,1,1,Parand,545000000.0,18166.67
100,2,1,1,0,Parand,1280000000.0,42666.67
71,2,1,1,1,Punak,2800000000.0,93333.33
140,3,1,1,1,Gisha,11200000000.0,373333.33
136,3,1,1,0,Parand,750000000.0,25000.0
48,1,0,0,0,Jeyhoon,850000000.0,28333.33
100,2,1,1,1,Lavizan,3300000000.0,110000.0
82,2,1,0,1,Shams Abad,3280000000.0,109333.33
120,3,1,1,1,Fatemi,4800000000.0,160000.0
